name,skill_download_count,skill_install_count,skill_star_count,skill_fork_count,developer,developer_is_org,developer_github_stars,domain,ambiguous_permissions,source_plat,declaration_atomic_ids,implementation_atomic_ids
algolia-performance-tuning,,,1990,269,jeremylongshore,False,2092,Dom-3,T,skillsmp,"O3,Q1",
google_maps-automation,,,55259,5931,ComposioHQ,True,98912,Dom-3,F,skillsmp,"A7,I4,O3,Q1,R1,R7,X7",
docs-search,,71.0,24807,2453,davila7,False,26056,Dom-3,T,skill.sh,"Q1,R7,R8,X1,X8",
serpapi-prod-checklist,,,1990,269,jeremylongshore,False,2092,Dom-3,T,skillsmp,"A7,I4,O4,Q1,X1,X7,X8",
domain-intel,,,106078,15187,NousResearch,True,115167,Dom-3,T,skillsmp,"G1,I4,O3,Q1,R8,W1,X1,X8","A5,R1,R10,W1"
web-quality-audit,,3174.0,1781,152,addyosmani,False,81168,Dom-3,T,skill.sh,"G1,Q1,R7",
seo,,,162357,25224,affaan-m,False,163369,Dom-3,T,skillsmp,"A3,A5,G1,Q1,Q3,R7",
github-pr-query,,,4336,356,github,True,665129,Dom-3,T,skillsmp,"Q1,Q2,R8,X8","G2,Q2,X8"
github-issue-query,,,4336,356,github,True,665129,Dom-3,T,skillsmp,"Q1,Q2,R8,X8","Q2,X8"
serpapi-deploy-integration,,,1990,269,jeremylongshore,False,2092,Dom-3,T,skillsmp,"A4,I4,Q1,R7,X1,X7",
assemblyai-core-workflow-a,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"G1,I4,O4,Q1,Q3,Q4,R7,X1",
scrape-do-automation,,,55259,5931,ComposioHQ,True,98912,Dom-4,T,skillsmp,"I4,O3,Q1,R1,R7,X7",
brightdata-core-workflow-b,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"A4,A5,Q1,Q4,R7,R8,X1,X7,X8",
gif-search,,,106078,15187,NousResearch,True,115167,Dom-4,T,skillsmp,"I4,Q1,X7,X8",
flyio-debug-bundle,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"O4,Q1,Q3,X1,X7,X8",
azure-resource-visualizer,,7295.0,30605,3652,github,True,665129,Dom-4,T,skill.sh,"G1,O4,Q1,Q2,Q4,R7,X7,X8","G1,I6"
scrape,,,24807,2453,davila7,False,26056,Dom-4,T,skillsmp,"I4,W1,X7,X8","G1,I4,X8"
arize-trace,,,30605,3652,github,True,665129,Dom-4,T,skillsmp,"A4,A7,G1,G3,I4,O3,Q1,Q2,Q3,R1,R7,R9,W2,X7,X8","A2,A7,I4,Q4,R6,X2,X4,X7,X8"
openrouter-model-availability,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"A3,A5,Q1,Q2,R1,R7,X1,X7,X8","A5,A7,I4,Q2,R1,W1,X5,X7,X8"
package-search,,,2781,317,davepoon,False,2817,Dom-4,T,skillsmp,"A4,G1,Q1,Q2,Q4,R8,X1,X4,X7,X8",
dictionary-api-automation,,,55259,5931,ComposioHQ,True,98912,Dom-4,T,skillsmp,"I4,O3,Q1,R1,R7,X7",
datacommons-client,,132.0,24807,2453,davila7,False,26056,Dom-4,T,skill.sh,"G1,I3,I4,O3,Q1,Q2,R1,R7,R8,S4,X4,X7","A2,G1,I4,R1,S4,U2,W1,X1,X4"
external-context,,,30354,2810,Yeachan-Heo,False,56602,Dom-4,T,skillsmp,"Q1,R1,R7,R8,X7",
scrapling,,,106078,15187,NousResearch,True,115167,Dom-4,T,skillsmp,"O3,O4,Q1,R8,S3,X4,X8",
auditing-wallet-security,,25.0,1990,269,jeremylongshore,False,2092,Dom-4,T,skill.sh,"A7,G1,O4,Q1,Q4,R7,X1,X5,X7","A2,A7,G1,G5,I4,O4,Q2,Q4,R1,R10,R5,U2,W1,X1,X4,X5,X6,X7,X8"
navan-debug-bundle,,,1990,269,jeremylongshore,False,2092,Dom-4,T,skillsmp,"A7,I4,Q3,R8,W2,X1,X7,X8","G1,I1,I2,W2,X7,X8"
youtube-content,,,106078,15187,NousResearch,True,115167,Dom-4,T,skillsmp,"A5,A7,Q1,Q2,Q4,X4","Q1,R10,W1,X4"
deep-research,,59.0,1449,217,feiskyer,False,11264,Dom-4,T,skill.sh,"Q2,R1,X1",
add-pdf-reader,,,27598,12502,gavrielc,False,1276,Dom-4,T,skillsmp,"Q2,R4,R8,X1,X3,X8",
firecrawl-performance-tuning,,21.0,1990,269,jeremylongshore,False,2092,Dom-4,T,skill.sh,"O3,Q1,R7,R8,U1",
rag-qdrant,,,24807,2453,davila7,False,26056,Dom-4,T,skillsmp,"A7,G1,K5,O3,Q1,Q4,R1,R7,R8,R9,W2,X3,X4,X7,X8","A5,G5,I4,Q1,Q4,W1,W3,X1,X3,X4,X5,X8"
customerio-debug-bundle,,21.0,1990,269,jeremylongshore,False,2092,Dom-4,T,skill.sh,"I4,Q1,Q3,R4,U1,X1,X3,X7,X8","G1,I4,Q3,U1,X7,X8"
tripadvisor-content-api-automation,,,55259,5931,ComposioHQ,True,98912,Dom-4,T,skillsmp,"I4,O3,Q1,R1,R7,X7",
sslmate-cert-spotter-api-automation,,,55259,5931,ComposioHQ,True,98912,Dom-4,T,skillsmp,"I4,O3,Q1,R1,R7,X7",
notebooklm,,207.0,24807,2453,davila7,False,26056,Dom-4,T,skill.sh,"A2,A5,G1,G4,I3,O3,O4,Q1,Q3,R7,R8,X1,X2,X4,X7,X8","A2,G1,O4,W3,X8"
best-practices,,3166.0,1781,152,addyosmani,False,81168,Dom-13,T,skill.sh,"G1,Q1,R1,R7,S1,S2,S4,X3",
sentry-javascript-bugs,,41.0,43631,4655,getsentry,True,109432,Dom-13,T,skill.sh,"I3,O4,Q1,Q4,R1,R7,X1,X7","O4,X1"
team-frontend,,31.0,1845,147,catlog22,False,2012,Dom-13,T,skill.sh,"A5,G1,G3,I3,O3,O4,Q1,Q2,Q4,R1,X1,X7,X8","A5,G1,G5,O4,Q1,Q2,Q4,X1,X8"
team-review,,23.0,1845,147,catlog22,False,2012,Dom-13,T,skill.sh,"A5,A7,G1,G2,O3,O4,Q1,Q2,R1,R7,X1,X8","A2,A5,A7,G1,G2,G3,G5,I4,O4,Q1,Q4,R1,X1,X8"
breakdown-epic-arch,,7141.0,30605,3652,github,True,665129,Dom-13,T,skill.sh,"Q1,R1,R7,X3,X8",
gsd-validate-phase,,,2781,317,davepoon,False,2817,Dom-13,T,skillsmp,"A7,G1,Q1,Q4,R1,R7,X1,X8",
scanning-input-validation-practices,,25.0,1990,269,jeremylongshore,False,2092,Dom-13,T,skill.sh,"G1,I3,Q1,Q4,R1,X1,X5","G1,I4,R1,R5,R9,X1,X2,X7,X8"
anima-deploy-integration,,,1990,269,jeremylongshore,False,2092,Dom-13,F,skillsmp,"A4,I4,R7,R8,X1,X3,X7,X8",
mistral_ai-automation,,,55259,5931,ComposioHQ,True,98912,Dom-13,F,skillsmp,"A7,I4,O3,Q1,R1,R7,X7",
cursor-prod-checklist,,28.0,1990,269,jeremylongshore,False,2092,Dom-13,T,skill.sh,"A3,G2,G5,I4,Q1,Q3,Q4,R1,R5,R7,X1,X7,X8",X8
clickhouse-performance-tuning,,,1990,269,jeremylongshore,False,2092,Dom-13,T,skillsmp,"A3,A4,G1,Q1,Q2,Q3,R7",
salesforce-advanced-troubleshooting,,,1990,269,jeremylongshore,False,2092,Dom-13,T,skillsmp,"A5,G1,O3,O4,Q1,Q2,R1,R7,W2,X1,X8",
